ticker,theme,already,first_sub10,last_sub10,days_sub10,months_sub10,min_px,max_px,last_px,broke_out,pct_time_sub10,reverse_split,delisted,last_data,optionable_now
FUBO,adtech-data-sw,False,2022-01-25,2026-06-30,1066,54,1.04,52.4,10.23,True,77.0,2026-03-24:0.08333333333333333,False,2026-07-06,True
RUM,adtech-data-sw,False,2021-04-14,2026-07-06,1021,56,3.39,16.81,6.51,True,78.0,,False,2026-07-06,True
GENI,adtech-data-sw,False,2021-11-24,2026-07-06,987,53,2.25,24.93,6.62,True,71.0,,False,2026-07-06,True
CDLX,adtech-data-sw,False,2022-09-22,2026-07-06,835,43,0.6,157.18,4.37,True,60.0,2026-06-08:0.1,False,2026-07-06,False
ZETA,adtech-data-sw,False,2021-06-10,2024-02-13,573,31,4.27,36.74,21.82,True,45.0,,False,2026-07-06,True
PUBM,adtech-data-sw,False,2025-03-07,2026-05-20,226,13,6.28,69.92,13.52,True,16.0,,False,2026-07-06,True
DV,adtech-data-sw,False,2025-11-07,2026-06-25,42,6,8.61,47.06,11.67,True,3.0,,False,2026-07-06,True
VXRT,biotech-binary,False,2021-01-04,2026-07-06,1376,67,0.3,23.33,0.62,True,100.0,,False,2026-07-06,False
BNGO,biotech-binary,False,2021-01-04,2026-07-06,1358,67,0.12,15.57,1.16,True,98.0,2023-08-07:0.1;2025-01-27:0.016666666666666666,False,2026-07-06,False
OCGN,biotech-binary,False,2021-01-04,2026-07-06,1349,67,0.36,15.81,1.49,True,98.0,,False,2026-07-06,True
INO,biotech-binary,False,2021-01-04,2026-07-06,1271,66,0.35,16.96,1.16,True,92.0,2024-01-25:0.08333333333333333,False,2026-07-06,True
ATAI,biotech-binary,False,2021-12-15,2026-07-06,1141,56,1.04,19.89,4.96,True,90.0,,False,2026-07-06,True
DNA,biotech-binary,False,2021-05-10,2026-06-30,1082,58,0.22,16.36,10.11,True,83.0,2024-08-20:0.025,False,2026-07-06,True
NVAX,biotech-binary,False,2022-12-23,2026-07-06,718,40,3.76,319.93,9.35,True,52.0,,False,2026-07-06,True
SOS,crypto-miner,False,2021-01-04,2026-07-06,1373,67,0.17,12.8,1.05,True,99.0,2022-07-06:0.02;2024-11-19:0.06666666666666667,False,2026-07-06,False
MIGI,crypto-miner,False,2021-01-04,2026-07-02,1328,67,0.21,16.49,7.45,True,96.0,2021-08-13:0.1;2023-02-09:0.16666666666666666;2025-11-21:0.05,False,2026-07-02,False
CAN,crypto-miner,False,2021-01-04,2026-07-06,1306,65,0.28,36.4,0.29,True,95.0,,False,2026-07-06,True
GREE,crypto-miner,False,2021-01-04,2026-07-06,1253,62,0.24,43.5,1.92,True,91.0,2021-09-15:0.207;2023-05-16:0.1,False,2026-07-06,False
CIFR,crypto-miner,False,2021-01-04,2025-09-11,1065,53,0.41,29.18,21.73,True,77.0,,False,2026-07-06,True
WULF,crypto-miner,False,2021-01-04,2025-09-08,935,49,0.54,42.31,22.21,True,68.0,,False,2026-07-06,True
HUT,crypto-miner,False,2021-01-04,2024-09-09,794,42,0.79,133.02,103.78,True,57.0,2023-12-04:0.2,False,2026-07-06,True
APLD,crypto-miner,False,2022-04-13,2025-07-15,786,40,0.88,49.65,33.5,True,74.0,2022-04-13:0.16666666666666666,False,2026-07-06,True
IREN,crypto-miner,False,2022-01-21,2025-06-18,680,40,1.06,76.41,43.91,True,59.0,,False,2026-07-06,True
CLSK,crypto-miner,False,2021-12-29,2026-04-08,649,43,1.78,40.39,13.51,True,47.0,,False,2026-07-06,True
BTDR,crypto-miner,False,2021-07-29,2026-04-07,494,34,2.93,26.1,14.25,True,40.0,,False,2026-07-06,True
RIOT,crypto-miner,False,2022-05-06,2025-06-23,436,29,3.29,77.9,22.87,True,32.0,,False,2026-07-06,True
MARA,crypto-miner,False,2022-05-11,2026-04-10,284,20,3.15,76.09,12.95,True,21.0,,False,2026-07-06,True
CORZ,crypto-miner,False,2024-01-24,2025-05-12,182,13,2.67,29.16,22.8,True,30.0,,False,2026-07-06,True
CENN,ev-battery,False,2021-01-04,2026-07-06,1381,67,0.08,6.25,3.65,False,100.0,2021-12-22:0.06666666666666667;2023-12-01:0.1;2023-12-08:0.1;2026-04-13:0.016666666666666666,False,2026-07-06,False
HYLN,ev-battery,False,2021-04-12,2026-07-06,1274,63,0.54,20.78,4.29,True,92.0,,False,2026-07-06,True
WKHS,ev-battery,False,2021-05-06,2026-07-06,1247,62,0.15,41.34,2.8,True,90.0,2024-06-17:0.05;2025-03-17:0.08;2025-12-08:0.08333333333333333,False,2026-07-06,False
MVST,ev-battery,False,2021-07-26,2026-07-06,1224,61,0.16,24.5,1.17,True,89.0,,False,2026-07-06,True
SLDP,ev-battery,False,2021-05-20,2026-07-06,1197,62,0.93,14.17,2.62,True,93.0,,False,2026-07-06,True
EVGO,ev-battery,False,2021-08-02,2026-07-06,1139,59,1.66,22.07,1.96,True,82.0,,False,2026-07-06,True
PSNY,ev-battery,False,2021-05-19,2025-12-08,947,48,0.52,23.28,20.36,True,74.0,2025-12-09:0.03333333333333333,False,2026-07-06,True
QS,ev-battery,False,2022-06-13,2026-07-06,856,46,3.47,66.52,7.24,True,62.0,,False,2026-07-06,True
BLNK,ev-battery,False,2023-02-23,2026-07-06,843,42,0.5,60.72,0.62,True,61.0,,False,2026-07-06,True
OPFI,fintech-consumer,False,2021-07-20,2026-07-02,1063,58,1.74,16.94,10.01,True,77.0,,False,2026-07-06,True
DAVE,fintech-consumer,False,2021-04-26,2024-01-12,659,34,0.26,396.0,396.0,True,51.0,2023-01-06:0.03125,False,2026-07-06,True
SOFI,fintech-consumer,False,2022-02-23,2025-04-08,653,34,4.3,32.21,18.61,True,47.0,,False,2026-07-06,True
ROOT,fintech-consumer,False,2021-04-20,2024-02-21,581,35,0.95,177.69,63.99,True,42.0,2022-08-15:0.05555555555555555,False,2026-07-06,True
HOOD,fintech-consumer,False,2022-04-27,2023-12-04,262,19,6.89,152.46,117.55,True,21.0,,False,2026-07-06,True
AFRM,fintech-consumer,False,2022-12-19,2023-05-04,28,5,8.91,168.52,85.78,True,2.0,,False,2026-07-06,True
SNDL,meme-cannabis,False,2021-01-04,2026-07-06,1381,67,0.29,3.17,1.3,False,100.0,2022-07-26:0.1,False,2026-07-06,True
CRON,meme-cannabis,False,2021-01-04,2026-07-06,1342,66,1.62,15.55,2.76,True,97.0,,False,2026-07-06,True
ACB,meme-cannabis,False,2021-01-04,2026-07-06,1332,66,0.38,18.92,2.71,True,96.0,2024-02-20:0.1,False,2026-07-06,True
NOK,meme-cannabis,False,2021-01-04,2026-04-22,1325,64,3.0,16.85,12.51,True,96.0,,False,2026-07-06,True
CLOV,meme-cannabis,False,2021-02-25,2026-07-06,1320,66,0.62,22.15,5.06,True,96.0,,False,2026-07-06,True
VFF,meme-cannabis,False,2021-05-10,2026-07-06,1267,63,0.48,19.37,1.97,True,92.0,,False,2026-07-06,True
BB,meme-cannabis,False,2021-01-04,2026-06-24,1226,64,2.11,25.1,11.38,True,89.0,,False,2026-07-06,True
SKLZ,meme-cannabis,False,2021-09-29,2026-07-02,1149,59,0.45,43.72,9.74,True,83.0,2023-06-26:0.05,False,2026-07-02,False
TLRY,meme-cannabis,False,2021-01-04,2026-07-06,1144,57,0.36,63.91,4.38,True,83.0,2025-12-02:0.1,False,2026-07-06,True
CGC,meme-cannabis,False,2021-12-01,2026-07-06,1135,56,0.37,52.17,0.96,True,82.0,2023-12-20:0.1,False,2026-07-06,True
AMC,meme-cannabis,False,2021-01-04,2026-07-06,1013,53,0.95,62.55,1.74,True,73.0,2023-08-24:0.1,False,2026-07-06,True
UEC,nuclear-uranium-h2,False,2021-01-04,2026-06-10,1159,57,1.58,20.14,10.59,True,84.0,,False,2026-07-06,True
UUUU,nuclear-uranium-h2,False,2021-01-04,2025-08-21,1145,56,3.44,27.72,13.77,True,83.0,,False,2026-07-06,True
BLDP,nuclear-uranium-h2,False,2022-01-21,2026-07-06,1077,55,1.02,40.99,3.46,True,78.0,,False,2026-07-06,True
EOSE,nuclear-uranium-h2,False,2021-11-18,2026-07-06,1051,53,0.64,30.44,5.06,True,76.0,,False,2026-07-06,True
STEM,nuclear-uranium-h2,False,2022-02-22,2026-07-06,774,43,0.3,49.97,7.79,True,56.0,2025-06-23:0.05,False,2026-07-06,True
AMPX,nuclear-uranium-h2,False,2022-09-16,2026-02-20,735,40,0.71,22.91,13.09,True,77.0,,False,2026-07-06,True
ENVX,nuclear-uranium-h2,False,2022-04-21,2026-07-06,489,35,4.84,35.82,5.62,True,35.0,,False,2026-07-06,True
OKLO,nuclear-uranium-h2,False,2021-07-08,2024-10-11,473,25,5.59,174.14,51.84,True,38.0,,False,2026-07-06,True
SMR,nuclear-uranium-h2,False,2022-04-25,2026-07-06,401,26,1.92,53.43,9.61,True,37.0,,False,2026-07-06,True
NNE,nuclear-uranium-h2,False,2024-05-08,2024-09-10,46,4,3.26,56.63,20.19,True,9.0,,False,2026-07-06,True
BE,nuclear-uranium-h2,False,2023-10-27,2024-11-01,41,9,8.58,345.85,295.05,True,3.0,,False,2026-07-06,True
QUBT,quantum-ai,False,2021-01-19,2026-07-06,1125,60,0.42,25.68,9.37,True,81.0,,False,2026-07-06,True
QBTS,quantum-ai,False,2021-03-04,2025-05-07,1016,51,0.41,44.78,22.56,True,74.0,,False,2026-07-06,True
RGTI,quantum-ai,False,2021-04-22,2025-05-13,913,48,0.38,56.34,17.96,True,70.0,,False,2026-07-06,True
ARQQ,quantum-ai,False,2021-04-01,2024-11-20,755,38,0.22,58.27,22.13,True,57.0,2024-09-25:0.04,False,2026-07-06,True
LAES,quantum-ai,False,2023-06-07,2026-07-06,730,37,0.34,21.97,3.0,True,93.0,,False,2026-07-06,True
IONQ,quantum-ai,False,2021-05-18,2024-10-10,487,32,3.1,82.09,48.87,True,35.0,,False,2026-07-06,True
AI,quantum-ai,False,2026-02-23,2026-07-06,74,6,7.76,168.92,9.28,True,5.0,,False,2026-07-06,True
INVZ,semi-lidar,False,2021-03-26,2026-07-06,1274,65,0.49,14.43,0.68,True,92.0,,False,2026-07-06,True
MVIS,semi-lidar,False,2021-01-04,2026-07-06,1209,60,0.28,26.44,0.36,True,88.0,,False,2026-07-06,True
AEVA,semi-lidar,False,2021-04-15,2025-11-21,987,50,0.48,37.79,24.2,True,71.0,2024-03-19:0.2,False,2026-07-06,True
OUST,semi-lidar,False,2021-03-18,2025-05-21,889,50,0.39,62.52,49.83,True,64.0,2023-04-21:0.1,False,2026-07-06,True
UAVS,space-drone,False,2021-01-04,2026-07-06,1359,67,0.07,15.69,0.85,True,98.0,2024-02-09:0.05;2024-10-15:0.02,False,2026-07-06,False
EVTL,space-drone,False,2021-03-04,2026-07-06,1313,65,0.51,15.5,1.92,True,95.0,2024-09-23:0.1,False,2026-07-06,True
RCAT,space-drone,False,2021-01-04,2026-06-26,1202,63,0.55,17.36,10.11,True,87.0,,False,2026-07-06,True
MNTS,space-drone,False,2021-08-06,2026-07-06,1152,59,0.23,27.42,6.58,True,83.0,2023-08-24:0.02;2024-12-13:0.07142857142857142;2025-12-18:0.056,False,2026-07-06,True
SPCE,space-drone,False,2022-01-18,2026-07-06,1112,55,0.68,59.41,2.69,True,81.0,2024-06-17:0.05,False,2026-07-06,True
JOBY,space-drone,False,2021-04-19,2026-07-06,1076,58,3.18,20.39,8.92,True,78.0,,False,2026-07-06,True
PL,space-drone,False,2021-04-26,2025-09-16,1076,53,1.69,51.4,30.86,True,83.0,,False,2026-07-06,True
RKLB,space-drone,False,2021-05-07,2024-10-15,699,36,3.53,150.23,93.09,True,51.0,,False,2026-07-06,True
ASTS,space-drone,False,2021-04-12,2024-06-13,658,36,2.01,133.09,80.64,True,48.0,,False,2026-07-06,True
SOUN,adtech-data-sw,True,2022-04-28,2026-07-06,827,46,0.97,24.23,6.96,True,79.0,,False,2026-07-06,True
HIVE,crypto-miner,True,2021-01-04,2026-07-06,1381,67,0.85,7.28,3.38,False,100.0,2022-05-24:0.2,False,2026-07-06,True
BTBT,crypto-miner,True,2021-05-12,2026-07-06,1228,62,0.54,29.27,1.74,True,89.0,,False,2026-07-06,True
NIO,ev-battery,True,2022-10-24,2026-07-06,801,45,3.14,62.84,5.02,True,58.0,,False,2026-07-06,True
LCID,ev-battery,True,2022-11-28,2026-07-06,757,41,1.98,58.05,6.66,True,55.0,2025-09-02:0.1,False,2026-07-06,True
OPEN,fintech-consumer,True,2022-01-19,2026-07-06,1104,55,0.51,35.88,5.09,True,80.0,,False,2026-07-06,True
DNN,nuclear-uranium-h2,True,2021-01-04,2026-07-06,1381,67,0.64,4.37,3.24,False,100.0,,False,2026-07-06,True
FCEL,nuclear-uranium-h2,True,2021-04-15,2026-04-28,1204,61,0.25,36.01,29.73,True,87.0,2024-11-11:0.03333333333333333,False,2026-07-06,True
PLUG,nuclear-uranium-h2,True,2023-04-05,2026-07-06,781,40,0.7,73.18,2.64,True,57.0,,False,2026-07-06,True
POET,other,True,2021-01-04,2026-07-06,1343,67,0.59,20.57,8.95,True,97.0,2022-02-28:0.1,False,2026-07-06,True
JBLU,other,True,2022-05-09,2026-07-06,1026,51,3.43,21.64,6.06,True,74.0,,False,2026-07-06,True
CHPT,other,True,2022-05-11,2026-07-06,779,42,0.54,44.5,6.26,True,56.0,2025-07-28:0.05,False,2026-07-06,True
RZLV,other,True,2021-11-10,2026-07-06,746,39,1.13,13.86,2.77,True,64.0,,False,2026-07-06,True
F,other,True,2021-01-04,2025-06-02,84,10,8.52,25.19,13.83,True,6.0,,False,2026-07-06,True
BBAI,quantum-ai,True,2021-04-05,2026-07-06,1293,64,0.63,12.69,3.58,True,98.0,,False,2026-07-06,True
INDI,semi-lidar,True,2021-06-14,2026-07-06,1134,58,1.6,15.85,4.63,True,82.0,,False,2026-07-06,True
ONDS,space-drone,True,2021-01-04,2026-07-06,1252,65,0.34,15.4,7.82,True,91.0,,False,2026-07-06,True
ACHR,space-drone,True,2021-04-15,2026-07-06,1215,64,1.63,17.14,5.37,True,88.0,,False,2026-07-06,True
RDW,space-drone,True,2021-03-04,2026-05-07,943,53,1.68,25.9,11.36,True,69.0,,False,2026-07-06,True
UMAC,space-drone,True,2024-02-14,2025-12-19,337,21,1.04,33.42,21.65,True,56.0,,False,2026-07-06,True
